Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms)
Purnama,Naim Daniel,Purnama,Naim Daniel,27/11/2020,203512
Malam Semakin Dingin,"Tajul, Afieq Shazwan",Malam Semakin Dingin,"Tajul, Afieq Shazwan",16/9/2021,282692
Hal Hebat,Govinda,Hal Hebat,Govinda,22/1/2022,328701
Pulang - Piano Version,Insomniacks,Pulang (Piano Version),Insomniacks,7/6/2019,308528
Kepuraanmu,Luqman Faiz,Kepuraanmu,Luqman Faiz,27/4/2018,231180
Mimpi,Haqiem Rusli,Mimpi,Haqiem Rusli,15/12/2020,243839
Seribu Tahun,Imran Ajmain,Dengan Secara Kebetulan,Imran Ajmain,28/10/2006,233573
Sakit,Achey,Sakit,Achey,20/12/2019,220530
Selamanya,Usop,Selamanya,Usop,1/1/2019,258048
Kisah Cinta Kita,Hafiz Suip,Kisah Cinta Kita,Hafiz Suip,8/3/2019,230704
Kisah Antara Kita,One Avenue Band,Kisah Antara Kita,One Avenue Band,24/4/2018,256833
Derita,Isma Sane,Derita,Isma Sane,28/9/2018,255907
Pulang,Insomniacks,Pulang,Insomniacks,23/11/2018,287477
Bukan Yang Terbaik,Adzrin,Bukan Yang Terbaik,Adzrin,19/9/2018,227420
Kata Akhirmu,Ariff Bahran,Kata Akhirmu,Ariff Bahran,17/11/2017,252677
Di Matamu,Sufian Suhaimi,Di Matamu,Sufian Suhaimi,30/3/2018,247169
Mudahnya Kau Berubah,Yazid Izaham,Mudahnya Kau Berubah,Yazid Izaham,2/9/2017,227165
Mengejar Rindu,Hyper Act,Mengejar Rindu,Hyper Act,27/4/2018,236102
Hanya Kau Yang Mampu,Aizat Amdan,Percubaan Pertama,Aizat Amdan,24/6/2008,253066
Sudah Ku Tahu,Projector Band,Sudah Ku Tahu,Projector Band,12/2/2016,258331
Biarkanlah,Drama Band,Biarkanlah,Drama Band,5/11/2014,253561
Sedalam-Dalam Rindu,Tajul,Sedalam-Dalam Rindu (Single),Tajul,16/10/2016,241797
Segalanya,Haqiem Rusli,Segalanya,Haqiem Rusli,6/4/2018,259506
Sabar,Ismail Izzani,Sabar,Ismail Izzani,24/2/2017,211673
Sumpah,Naim Daniel,Sumpah,Naim Daniel,19/4/2019,221067
Ilusi,IamNeeta,Ilusi,IamNeeta,4/4/2019,220116
Kupu-Kupu Cinta,Sigma,Istikharah Cinta,Sigma,1/2/2014,286250
Tergantung Sepi,Haqiem Rusli,Segalanya,Haqiem Rusli,6/4/2018,256034
Jampi,Hael Husaini,Jampi,Hael Husaini,10/3/2017,217678
Hidup Dalam Mati,Syamel,Hits AF2015,Various Artists,11/12/2015,247264
Ku Rela Dibenci,Aiman Tino,Ku Rela Dibenci,Aiman Tino,1/4/2016,216999
Permata Cinta,Aiman Tino,Permata Cinta,Aiman Tino,25/11/2016,209533
Ku Mau,"Aizat Amdan, Hanin Dhiya",Ku Mau,"Aizat Amdan, Hanin Dhiya",26/6/2020,176428
Kebahagiaan Dalam Perpisahan,Shahir,AF8 Hits,Various Artists,1/1/2010,239426
Terasa Ada,Sufian Suhaimi,Terasa Ada,Sufian Suhaimi,17/8/2017,242071
Mainan,Naim Daniel,Mainan,Naim Daniel,12/11/2021,234000
Sesuatu Yang Takkan Mungkin,SHA2Z,Sesuatu Yang Takkan Mungkin,SHA2Z,8/3/2019,219794
Harus Aku,Sufian Suhaimi,Harus Aku,Sufian Suhaimi,4/11/2016,244566
"Babak Pertama - From ""Juvana""",Drama Band,"Babak Pertama (From ""Juvana"")",Drama Band,25/4/2011,245434
Cerita Dia,Aepul Drama Band,Cerita Dia,Aepul Drama Band,29/12/2011,255999
Yang Terindah,Achey,Yang Terindah,Achey,24/11/2017,239279
Harapan,Hyper Act,Impian,Hyper Act,15/6/2014,235563
Pasti,Cherpen Band,Pasti,Cherpen Band,24/11/2017,221628
Akhiri Penantianku,Alif Satar,Definisi,Alif Satar,12/11/2013,253333
Jatuh Cinta,IamNeeta,Jatuh Cinta,IamNeeta,7/3/2014,254749
Hanya Aku,Hyper Act,Impian,Hyper Act,15/6/2014,200163
Perasaanku,Fieya Julia,Perasaanku,Fieya Julia,21/7/2018,238869
